campaign_id,campaign_name,campaign_type,channel,start_date,end_date,budget,target_audience,campaign_status
1,Brand Awareness - Referral - Jan 2025,Brand Awareness,Referral,2025-01-18,2025-02-23,270.75,"Age 49-43, Male",completed
2,Brand Awareness - Email Marketing - May 2024,Brand Awareness,Email Marketing,2024-05-22,2024-07-09,5976.04,"Age 35-61, Male",completed
3,Product Launch - Google Ads - Apr 2025,Product Launch,Google Ads,2025-04-10,2025-05-19,6152.23,"Age 46-26, All",completed
4,Retargeting - Facebook Ads - Aug 2024,Retargeting,Facebook Ads,2024-08-28,2024-10-23,2110.74,"Age 25-25, Female",completed
5,Product Launch - Referral - Aug 2023,Product Launch,Referral,2023-08-25,2023-11-10,2128.59,"Age 36-70, Male",completed
6,Holiday Special - Email Marketing - Aug 2023,Holiday Special,Email Marketing,2023-08-31,2023-11-01,3885.92,"Age 64-70, All",completed
7,Brand Awareness - Direct - Jul 2024,Brand Awareness,Direct,2024-07-30,2024-10-15,13389.01,"Age 64-53, All",completed
8,Product Launch - Email Marketing - Mar 2025,Product Launch,Email Marketing,2025-03-14,2025-03-21,852.94,"Age 31-34, Female",completed
9,Retargeting - Email Marketing - Dec 2023,Retargeting,Email Marketing,2023-12-30,2024-02-24,1976.8,"Age 27-50, Female",completed
10,Retargeting - Direct - Feb 2024,Retargeting,Direct,2024-02-26,2024-04-04,7115.77,"Age 20-39, All",completed
11,Holiday Special - Direct - Feb 2025,Holiday Special,Direct,2025-02-24,2025-04-13,1288.04,"Age 31-65, All",completed
12,Brand Awareness - Referral - Oct 2023,Brand Awareness,Referral,2023-10-18,2024-01-11,4287.59,"Age 59-68, Male",completed
13,Brand Awareness - Organic Search - Dec 2024,Brand Awareness,Organic Search,2024-12-31,2025-01-31,2134.18,"Age 32-51, Female",completed
14,Brand Awareness - Referral - Apr 2025,Brand Awareness,Referral,2025-04-18,2025-07-07,805.84,"Age 26-27, All",completed
15,Holiday Special - Organic Search - Jun 2024,Holiday Special,Organic Search,2024-06-03,2024-07-17,3651.6,"Age 40-31, Female",completed
16,Brand Awareness - Facebook Ads - Oct 2023,Brand Awareness,Facebook Ads,2023-10-10,2023-11-17,1959.36,"Age 54-57, Male",completed
17,Holiday Special - Referral - Jan 2025,Holiday Special,Referral,2025-01-21,2025-03-11,3677.01,"Age 46-32, Female",completed
18,Seasonal Sale - Organic Search - Sep 2024,Seasonal Sale,Organic Search,2024-09-07,2024-09-29,18118.12,"Age 36-63, All",completed
19,Retargeting - Google Ads - Mar 2025,Retargeting,Google Ads,2025-03-02,2025-03-21,10493.67,"Age 30-59, Male",completed
20,Product Launch - Referral - Jun 2024,Product Launch,Referral,2024-06-18,2024-09-10,10072.72,"Age 38-55, Female",completed
21,Product Launch - Referral - Oct 2023,Product Launch,Referral,2023-10-02,2023-10-24,1001.57,"Age 55-26, Male",completed
